"","a_total","b_total","sample_size","posterior"
"1",0,1,6,0.7672
"2",0,2,6,0.9031
"3",0,3,6,0.9649
"4",0,4,6,0.9895
"5",0,5,6,0.9983
"6",0,6,6,0.9998
"7",1,2,6,0.7271
"8",1,3,6,0.8687
"9",1,4,6,0.9482
"10",1,5,6,0.9854
"11",1,6,6,0.9983
"12",2,3,6,0.708
"13",2,4,6,0.8559
"14",2,5,6,0.9495
"15",2,6,6,0.9885
"16",3,4,6,0.7003
"17",3,5,6,0.8675
"18",3,6,6,0.9665
"19",4,5,6,0.7223
"20",4,6,6,0.9067
"21",5,6,6,0.7677
"22",0,1,7,0.7646
"23",0,2,7,0.8978
"24",0,3,7,0.9607
"25",0,4,7,0.9871
"26",0,5,7,0.9959
"27",0,6,7,0.9991
"28",0,7,7,0.9999
"29",1,2,7,0.7178
"30",1,3,7,0.8611
"31",1,4,7,0.9412
"32",1,5,7,0.9804
"33",1,6,7,0.9946
"34",1,7,7,0.999
"35",2,3,7,0.6934
"36",2,4,7,0.8499
"37",2,5,7,0.9329
"38",2,6,7,0.9785
"39",2,7,7,0.9973
"40",3,4,7,0.6918
"41",3,5,7,0.8442
"42",3,6,7,0.9413
"43",3,7,7,0.9866
"44",4,5,7,0.6999
"45",4,6,7,0.86
"46",4,7,7,0.9613
"47",5,6,7,0.7181
"48",5,7,7,0.8992
"49",6,7,7,0.7669
"50",0,1,8,0.7633
"51",0,2,8,0.898
"52",0,3,8,0.9595
"53",0,4,8,0.9863
"54",0,5,8,0.996
"55",0,6,8,0.9992
"56",0,7,8,0.9997
"57",0,8,8,1
"58",1,2,8,0.7094
"59",1,3,8,0.8496
"60",1,4,8,0.9339
"61",1,5,8,0.9765
"62",1,6,8,0.9918
"63",1,7,8,0.9986
"64",1,8,8,0.9998
"65",2,3,8,0.6961
"66",2,4,8,0.8266
"67",2,5,8,0.9238
"68",2,6,8,0.9695
"69",2,7,8,0.9928
"70",2,8,8,0.9994
"71",3,4,8,0.6848
"72",3,5,8,0.8255
"73",3,6,8,0.9232
"74",3,7,8,0.9733
"75",3,8,8,0.9957
"76",4,5,8,0.686
"77",4,6,8,0.8355
"78",4,7,8,0.9347
"79",4,8,8,0.9846
"80",5,6,8,0.695
"81",5,7,8,0.8496
"82",5,8,8,0.957
"83",6,7,8,0.7178
"84",6,8,8,0.8974
"85",7,8,8,0.7607
"86",0,1,9,0.7638
"87",0,2,9,0.8909
"88",0,3,9,0.9589
"89",0,4,9,0.9826
"90",0,5,9,0.9952
"91",0,6,9,0.9984
"92",0,7,9,0.9998
"93",0,8,9,1
"94",0,9,9,1
"95",1,2,9,0.7103
"96",1,3,9,0.8493
"97",1,4,9,0.9255
"98",1,5,9,0.9722
"99",1,6,9,0.9887
"100",1,7,9,0.997
"101",1,8,9,0.9997
"102",1,9,9,1
"103",2,3,9,0.6892
"104",2,4,9,0.8213
"105",2,5,9,0.9133
"106",2,6,9,0.9656
"107",2,7,9,0.9868
"108",2,8,9,0.9971
"109",2,9,9,0.9999
"110",3,4,9,0.6719
"111",3,5,9,0.8113
"112",3,6,9,0.9108
"113",3,7,9,0.9655
"114",3,8,9,0.9909
"115",3,9,9,0.9982
"116",4,5,9,0.6677
"117",4,6,9,0.8206
"118",4,7,9,0.913
"119",4,8,9,0.972
"120",4,9,9,0.9959
"121",5,6,9,0.6735
"122",5,7,9,0.8189
"123",5,8,9,0.9275
"124",5,9,9,0.9832
"125",6,7,9,0.685
"126",6,8,9,0.8501
"127",6,9,9,0.9575
"128",7,8,9,0.7096
"129",7,9,9,0.8969
"130",8,9,9,0.7597
"131",0,1,10,0.7594
"132",0,2,10,0.8912
"133",0,3,10,0.9539
"134",0,4,10,0.9826
"135",0,5,10,0.9949
"136",0,6,10,0.9978
"137",0,7,10,0.9994
"138",0,8,10,0.9999
"139",0,9,10,1
"140",0,10,10,1
"141",1,2,10,0.7072
"142",1,3,10,0.8492
"143",1,4,10,0.93
"144",1,5,10,0.9701
"145",1,6,10,0.9877
"146",1,7,10,0.9953
"147",1,8,10,0.9995
"148",1,9,10,0.9999
"149",1,10,10,1
"150",2,3,10,0.6726
"151",2,4,10,0.8202
"152",2,5,10,0.9073
"153",2,6,10,0.9556
"154",2,7,10,0.9881
"155",2,8,10,0.9957
"156",2,9,10,0.9989
"157",2,10,10,0.9996
"158",3,4,10,0.6724
"159",3,5,10,0.8045
"160",3,6,10,0.9047
"161",3,7,10,0.9572
"162",3,8,10,0.9848
"163",3,9,10,0.9961
"164",3,10,10,0.9994
"165",4,5,10,0.6696
"166",4,6,10,0.7969
"167",4,7,10,0.9036
"168",4,8,10,0.9582
"169",4,9,10,0.9873
"170",4,10,10,0.9981
"171",5,6,10,0.6627
"172",5,7,10,0.8036
"173",5,8,10,0.9136
"174",5,9,10,0.9695
"175",5,10,10,0.9941
"176",6,7,10,0.6629
"177",6,8,10,0.8211
"178",6,9,10,0.9257
"179",6,10,10,0.9822
"180",7,8,10,0.6891
"181",7,9,10,0.845
"182",7,10,10,0.957
"183",8,9,10,0.7069
"184",8,10,10,0.893
"185",9,10,10,0.756
"186",0,1,11,0.759
"187",0,2,11,0.8893
"188",0,3,11,0.9546
"189",0,4,11,0.98
"190",0,5,11,0.9923
"191",0,6,11,0.9972
"192",0,7,11,0.9993
"193",0,8,11,0.9997
"194",0,9,11,1
"195",0,10,11,1
"196",0,11,11,1
"197",1,2,11,0.7058
"198",1,3,11,0.8375
"199",1,4,11,0.9203
"200",1,5,11,0.9656
"201",1,6,11,0.9847
"202",1,7,11,0.996
"203",1,8,11,0.9987
"204",1,9,11,0.9997
"205",1,10,11,0.9999
"206",1,11,11,1
"207",2,3,11,0.6775
"208",2,4,11,0.8112
"209",2,5,11,0.9031
"210",2,6,11,0.9569
"211",2,7,11,0.9815
"212",2,8,11,0.9934
"213",2,9,11,0.9985
"214",2,10,11,0.9997
"215",2,11,11,0.9999
"216",3,4,11,0.666
"217",3,5,11,0.8002
"218",3,6,11,0.8952
"219",3,7,11,0.9494
"220",3,8,11,0.9797
"221",3,9,11,0.9932
"222",3,10,11,0.9987
"223",3,11,11,0.9999
"224",4,5,11,0.6602
"225",4,6,11,0.7918
"226",4,7,11,0.8891
"227",4,8,11,0.9546
"228",4,9,11,0.9828
"229",4,10,11,0.9955
"230",4,11,11,0.9994
"231",5,6,11,0.651
"232",5,7,11,0.7984
"233",5,8,11,0.8941
"234",5,9,11,0.9588
"235",5,10,11,0.9872
"236",5,11,11,0.9966
"237",6,7,11,0.6609
"238",6,8,11,0.802
"239",6,9,11,0.9011
"240",6,10,11,0.9664
"241",6,11,11,0.9936
"242",7,8,11,0.6673
"243",7,9,11,0.8087
"244",7,10,11,0.9203
"245",7,11,11,0.9821
"246",8,9,11,0.6814
"247",8,10,11,0.8384
"248",8,11,11,0.9541
"249",9,10,11,0.7052
"250",9,11,11,0.8885
"251",10,11,11,0.7583
"252",0,1,12,0.7622
"253",0,2,12,0.8912
"254",0,3,12,0.9512
"255",0,4,12,0.981
"256",0,5,12,0.9924
"257",0,6,12,0.9974
"258",0,7,12,0.9993
"259",0,8,12,0.9997
"260",0,9,12,1
"261",0,10,12,1
"262",0,11,12,1
"263",0,12,12,1
"264",1,2,12,0.7009
"265",1,3,12,0.8469
"266",1,4,12,0.9202
"267",1,5,12,0.9622
"268",1,6,12,0.9872
"269",1,7,12,0.9946
"270",1,8,12,0.9987
"271",1,9,12,0.9996
"272",1,10,12,1
"273",1,11,12,1
"274",1,12,12,1
"275",2,3,12,0.6859
"276",2,4,12,0.8078
"277",2,5,12,0.8967
"278",2,6,12,0.9523
"279",2,7,12,0.979
"280",2,8,12,0.9927
"281",2,9,12,0.9974
"282",2,10,12,0.9994
"283",2,11,12,1
"284",2,12,12,0.9999
"285",3,4,12,0.6663
"286",3,5,12,0.7995
"287",3,6,12,0.8823
"288",3,7,12,0.9476
"289",3,8,12,0.9751
"290",3,9,12,0.9908
"291",3,10,12,0.9983
"292",3,11,12,0.9996
"293",3,12,12,1
"294",4,5,12,0.6508
"295",4,6,12,0.7831
"296",4,7,12,0.8813
"297",4,8,12,0.9443
"298",4,9,12,0.9778
"299",4,10,12,0.9932
"300",4,11,12,0.9985
"301",4,12,12,0.9998
"302",5,6,12,0.6597
"303",5,7,12,0.7857
"304",5,8,12,0.884
"305",5,9,12,0.9467
"306",5,10,12,0.9781
"307",5,11,12,0.9933
"308",5,12,12,0.9995
"309",6,7,12,0.6575
"310",6,8,12,0.7839
"311",6,9,12,0.8839
"312",6,10,12,0.9474
"313",6,11,12,0.9846
"314",6,12,12,0.9976
"315",7,8,12,0.6539
"316",7,9,12,0.7956
"317",7,10,12,0.8985
"318",7,11,12,0.9631
"319",7,12,12,0.993
"320",8,9,12,0.6589
"321",8,10,12,0.8171
"322",8,11,12,0.9179
"323",8,12,12,0.9791
"324",9,10,12,0.6758
"325",9,11,12,0.8377
"326",9,12,12,0.952
"327",10,11,12,0.7011
"328",10,12,12,0.894
"329",11,12,12,0.7487
"330",0,1,13,0.7537
"331",0,2,13,0.8855
"332",0,3,13,0.9497
"333",0,4,13,0.9803
"334",0,5,13,0.992
"335",0,6,13,0.9977
"336",0,7,13,0.9993
"337",0,8,13,0.9997
"338",0,9,13,1
"339",0,10,13,1
"340",0,11,13,1
"341",0,12,13,1
"342",0,13,13,1
"343",1,2,13,0.6922
"344",1,3,13,0.838
"345",1,4,13,0.92
"346",1,5,13,0.9606
"347",1,6,13,0.9845
"348",1,7,13,0.9932
"349",1,8,13,0.9973
"350",1,9,13,0.9992
"351",1,10,13,1
"352",1,11,13,1
"353",1,12,13,1
"354",1,13,13,1
"355",2,3,13,0.6764
"356",2,4,13,0.8119
"357",2,5,13,0.8985
"358",2,6,13,0.9494
"359",2,7,13,0.9791
"360",2,8,13,0.9922
"361",2,9,13,0.9967
"362",2,10,13,0.9985
"363",2,11,13,0.9997
"364",2,12,13,1
"365",2,13,13,1
"366",3,4,13,0.653
"367",3,5,13,0.789
"368",3,6,13,0.8818
"369",3,7,13,0.9404
"370",3,8,13,0.975
"371",3,9,13,0.9895
"372",3,10,13,0.9962
"373",3,11,13,0.9991
"374",3,12,13,0.9999
"375",3,13,13,1
"376",4,5,13,0.6535
"377",4,6,13,0.7758
"378",4,7,13,0.8732
"379",4,8,13,0.9363
"380",4,9,13,0.9729
"381",4,10,13,0.9892
"382",4,11,13,0.9969
"383",4,12,13,0.9998
"384",4,13,13,1
"385",5,6,13,0.6603
"386",5,7,13,0.7752
"387",5,8,13,0.8687
"388",5,9,13,0.9321
"389",5,10,13,0.9733
"390",5,11,13,0.9913
"391",5,12,13,0.9975
"392",5,13,13,0.9998
"393",6,7,13,0.6458
"394",6,8,13,0.7759
"395",6,9,13,0.8749
"396",6,10,13,0.9392
"397",6,11,13,0.9778
"398",6,12,13,0.9922
"399",6,13,13,0.9985
"400",7,8,13,0.657
"401",7,9,13,0.7787
"402",7,10,13,0.8773
"403",7,11,13,0.9482
"404",7,12,13,0.985
"405",7,13,13,0.9976
"406",8,9,13,0.6556
"407",8,10,13,0.7875
"408",8,11,13,0.9015
"409",8,12,13,0.9618
"410",8,13,13,0.9926
"411",9,10,13,0.6646
"412",9,11,13,0.8123
"413",9,12,13,0.9219
"414",9,13,13,0.9798
"415",10,11,13,0.6752
"416",10,12,13,0.8364
"417",10,13,13,0.9526
"418",11,12,13,0.6937
"419",11,13,13,0.8871
"420",12,13,13,0.7566
"421",0,1,14,0.7564
"422",0,2,14,0.8832
"423",0,3,14,0.95
"424",0,4,14,0.9805
"425",0,5,14,0.9937
"426",0,6,14,0.9968
"427",0,7,14,0.9985
"428",0,8,14,0.9996
"429",0,9,14,0.9999
"430",0,10,14,1
"431",0,11,14,1
"432",0,12,14,1
"433",0,13,14,1
"434",0,14,14,1
"435",1,2,14,0.7102
"436",1,3,14,0.8306
"437",1,4,14,0.9187
"438",1,5,14,0.9614
"439",1,6,14,0.9831
"440",1,7,14,0.9932
"441",1,8,14,0.9975
"442",1,9,14,0.9994
"443",1,10,14,0.9998
"444",1,11,14,1
"445",1,12,14,1
"446",1,13,14,1
"447",1,14,14,1
"448",2,3,14,0.6805
"449",2,4,14,0.8042
"450",2,5,14,0.8955
"451",2,6,14,0.9455
"452",2,7,14,0.9755
"453",2,8,14,0.9893
"454",2,9,14,0.9952
"455",2,10,14,0.9989
"456",2,11,14,0.9994
"457",2,12,14,1
"458",2,13,14,1
"459",2,14,14,1
"460",3,4,14,0.6594
"461",3,5,14,0.787
"462",3,6,14,0.8758
"463",3,7,14,0.9353
"464",3,8,14,0.9678
"465",3,9,14,0.9878
"466",3,10,14,0.9952
"467",3,11,14,0.9988
"468",3,12,14,0.9998
"469",3,13,14,1
"470",3,14,14,1
"471",4,5,14,0.6471
"472",4,6,14,0.773
"473",4,7,14,0.8689
"474",4,8,14,0.9297
"475",4,9,14,0.9655
"476",4,10,14,0.9849
"477",4,11,14,0.9961
"478",4,12,14,0.9989
"479",4,13,14,0.9996
"480",4,14,14,1
"481",5,6,14,0.6428
"482",5,7,14,0.765
"483",5,8,14,0.8623
"484",5,9,14,0.9271
"485",5,10,14,0.9673
"486",5,11,14,0.9866
"487",5,12,14,0.995
"488",5,13,14,0.9992
"489",5,14,14,0.9999
"490",6,7,14,0.6396
"491",6,8,14,0.771
"492",6,9,14,0.8612
"493",6,10,14,0.928
"494",6,11,14,0.9686
"495",6,12,14,0.9906
"496",6,13,14,0.9968
"497",6,14,14,0.9997
"498",7,8,14,0.6475
"499",7,9,14,0.7749
"500",7,10,14,0.871
"501",7,11,14,0.9374
"502",7,12,14,0.9754
"503",7,13,14,0.9939
"504",7,14,14,0.9988
"505",8,9,14,0.6432
"506",8,10,14,0.7752
"507",8,11,14,0.8805
"508",8,12,14,0.9444
"509",8,13,14,0.9817
"510",8,14,14,0.9957
"511",9,10,14,0.6567
"512",9,11,14,0.7873
"513",9,12,14,0.8952
"514",9,13,14,0.9596
"515",9,14,14,0.9906
"516",10,11,14,0.657
"517",10,12,14,0.8114
"518",10,13,14,0.9156
"519",10,14,14,0.9781
"520",11,12,14,0.6715
"521",11,13,14,0.8389
"522",11,14,14,0.953
"523",12,13,14,0.7007
"524",12,14,14,0.8912
"525",13,14,14,0.7548
"526",0,1,15,0.7586
"527",0,2,15,0.8865
"528",0,3,15,0.9467
"529",0,4,15,0.9792
"530",0,5,15,0.9899
"531",0,6,15,0.9971
"532",0,7,15,0.998
"533",0,8,15,0.9995
"534",0,9,15,0.9997
"535",0,10,15,1
"536",0,11,15,1
"537",0,12,15,1
"538",0,13,15,1
"539",0,14,15,1
"540",0,15,15,1
"541",1,2,15,0.6946
"542",1,3,15,0.8344
"543",1,4,15,0.9149
"544",1,5,15,0.959
"545",1,6,15,0.985
"546",1,7,15,0.9919
"547",1,8,15,0.9967
"548",1,9,15,0.9985
"549",1,10,15,0.9997
"550",1,11,15,1
"551",1,12,15,1
"552",1,13,15,1
"553",1,14,15,1
"554",1,15,15,1
"555",2,3,15,0.6711
"556",2,4,15,0.801
"557",2,5,15,0.88
"558",2,6,15,0.9428
"559",2,7,15,0.9728
"560",2,8,15,0.9878
"561",2,9,15,0.9959
"562",2,10,15,0.9983
"563",2,11,15,0.9991
"564",2,12,15,1
"565",2,13,15,1
"566",2,14,15,0.9999
"567",2,15,15,1
"568",3,4,15,0.6516
"569",3,5,15,0.786
"570",3,6,15,0.8745
"571",3,7,15,0.932
"572",3,8,15,0.9632
"573",3,9,15,0.9861
"574",3,10,15,0.9939
"575",3,11,15,0.9986
"576",3,12,15,0.9993
"577",3,13,15,1
"578",3,14,15,1
"579",3,15,15,1
"580",4,5,15,0.6383
"581",4,6,15,0.7698
"582",4,7,15,0.8645
"583",4,8,15,0.9212
"584",4,9,15,0.9624
"585",4,10,15,0.9829
"586",4,11,15,0.9933
"587",4,12,15,0.9977
"588",4,13,15,0.9997
"589",4,14,15,0.9999
"590",4,15,15,1
"591",5,6,15,0.6411
"592",5,7,15,0.7614
"593",5,8,15,0.8634
"594",5,9,15,0.923
"595",5,10,15,0.9663
"596",5,11,15,0.9832
"597",5,12,15,0.9947
"598",5,13,15,0.9983
"599",5,14,15,0.9995
"600",5,15,15,1
"601",6,7,15,0.6366
"602",6,8,15,0.7518
"603",6,9,15,0.8578
"604",6,10,15,0.9231
"605",6,11,15,0.9646
"606",6,12,15,0.9859
"607",6,13,15,0.9956
"608",6,14,15,0.9989
"609",6,15,15,0.9998
"610",7,8,15,0.6389
"611",7,9,15,0.7587
"612",7,10,15,0.8552
"613",7,11,15,0.9282
"614",7,12,15,0.9647
"615",7,13,15,0.9879
"616",7,14,15,0.9975
"617",7,15,15,0.9996
"618",8,9,15,0.6331
"619",8,10,15,0.7553
"620",8,11,15,0.8669
"621",8,12,15,0.9338
"622",8,13,15,0.9713
"623",8,14,15,0.9916
"624",8,15,15,0.9992
"625",9,10,15,0.6441
"626",9,11,15,0.7787
"627",9,12,15,0.8744
"628",9,13,15,0.9413
"629",9,14,15,0.9814
"630",9,15,15,0.9975
"631",10,11,15,0.6428
"632",10,12,15,0.7838
"633",10,13,15,0.893
"634",10,14,15,0.9602
"635",10,15,15,0.9926
"636",11,12,15,0.6589
"637",11,13,15,0.8014
"638",11,14,15,0.9184
"639",11,15,15,0.9776
"640",12,13,15,0.6629
"641",12,14,15,0.8337
"642",12,15,15,0.9517
"643",13,14,15,0.7084
"644",13,15,15,0.8836
"645",14,15,15,0.7603
"646",0,1,16,0.7627
"647",0,2,16,0.8892
"648",0,3,16,0.9501
"649",0,4,16,0.9801
"650",0,5,16,0.99
"651",0,6,16,0.9969
"652",0,7,16,0.998
"653",0,8,16,0.9995
"654",0,9,16,0.9998
"655",0,10,16,1
"656",0,11,16,1
"657",0,12,16,1
"658",0,13,16,1
"659",0,14,16,1
"660",0,15,16,1
"661",0,16,16,1
"662",1,2,16,0.6975
"663",1,3,16,0.8312
"664",1,4,16,0.9106
"665",1,5,16,0.9585
"666",1,6,16,0.9804
"667",1,7,16,0.9923
"668",1,8,16,0.9974
"669",1,9,16,0.9983
"670",1,10,16,0.9995
"671",1,11,16,0.9999
"672",1,12,16,1
"673",1,13,16,1
"674",1,14,16,1
"675",1,15,16,1
"676",1,16,16,1
"677",2,3,16,0.6632
"678",2,4,16,0.7995
"679",2,5,16,0.8861
"680",2,6,16,0.9455
"681",2,7,16,0.9702
"682",2,8,16,0.9886
"683",2,9,16,0.9946
"684",2,10,16,0.9969
"685",2,11,16,0.9989
"686",2,12,16,0.9998
"687",2,13,16,0.9999
"688",2,14,16,1
"689",2,15,16,1
"690",2,16,16,1
"691",3,4,16,0.6549
"692",3,5,16,0.7732
"693",3,6,16,0.8695
"694",3,7,16,0.9302
"695",3,8,16,0.9647
"696",3,9,16,0.9819
"697",3,10,16,0.9944
"698",3,11,16,0.9979
"699",3,12,16,0.9994
"700",3,13,16,0.9998
"701",3,14,16,1
"702",3,15,16,1
"703",3,16,16,1
"704",4,5,16,0.6467
"705",4,6,16,0.7719
"706",4,7,16,0.8554
"707",4,8,16,0.9203
"708",4,9,16,0.9575
"709",4,10,16,0.9818
"710",4,11,16,0.9924
"711",4,12,16,0.9976
"712",4,13,16,0.9991
"713",4,14,16,0.9998
"714",4,15,16,0.9999
"715",4,16,16,1
"716",5,6,16,0.6392
"717",5,7,16,0.7617
"718",5,8,16,0.8519
"719",5,9,16,0.9211
"720",5,10,16,0.9559
"721",5,11,16,0.98
"722",5,12,16,0.993
"723",5,13,16,0.9979
"724",5,14,16,0.9988
"725",5,15,16,0.9997
"726",5,16,16,1
"727",6,7,16,0.6327
"728",6,8,16,0.7534
"729",6,9,16,0.8528
"730",6,10,16,0.912
"731",6,11,16,0.9554
"732",6,12,16,0.9797
"733",6,13,16,0.992
"734",6,14,16,0.997
"735",6,15,16,0.9994
"736",6,16,16,1
"737",7,8,16,0.6299
"738",7,9,16,0.7465
"739",7,10,16,0.8482
"740",7,11,16,0.9173
"741",7,12,16,0.9603
"742",7,13,16,0.9831
"743",7,14,16,0.9951
"744",7,15,16,0.9984
"745",7,16,16,0.9999
"746",8,9,16,0.6352
"747",8,10,16,0.7541
"748",8,11,16,0.8497
"749",8,12,16,0.9221
"750",8,13,16,0.9661
"751",8,14,16,0.9861
"752",8,15,16,0.9971
"753",8,16,16,0.9998
"754",9,10,16,0.634
"755",9,11,16,0.7566
"756",9,12,16,0.862
"757",9,13,16,0.9243
"758",9,14,16,0.9719
"759",9,15,16,0.9914
"760",9,16,16,0.9983
"761",10,11,16,0.6368
"762",10,12,16,0.7661
"763",10,13,16,0.8635
"764",10,14,16,0.9426
"765",10,15,16,0.9783
"766",10,16,16,0.9967
"767",11,12,16,0.6443
"768",11,13,16,0.7833
"769",11,14,16,0.8903
"770",11,15,16,0.9569
"771",11,16,16,0.9913
"772",12,13,16,0.6534
"773",12,14,16,0.8007
"774",12,15,16,0.9119
"775",12,16,16,0.9787
"776",13,14,16,0.6662
"777",13,15,16,0.8322
"778",13,16,16,0.9499
"779",14,15,16,0.6964
"780",14,16,16,0.8891
"781",15,16,16,0.7524
"782",0,1,17,0.7664
"783",0,2,17,0.886
"784",0,3,17,0.9448
"785",0,4,17,0.9795
"786",0,5,17,0.9884
"787",0,6,17,0.9962
"788",0,7,17,0.998
"789",0,8,17,0.9993
"790",0,9,17,1
"791",0,10,17,0.9999
"792",0,11,17,1
"793",0,12,17,1
"794",0,13,17,1
"795",0,14,17,1
"796",0,15,17,1
"797",0,16,17,1
"798",0,17,17,1
"799",1,2,17,0.6987
"800",1,3,17,0.8307
"801",1,4,17,0.906
"802",1,5,17,0.9524
"803",1,6,17,0.9795
"804",1,7,17,0.9916
"805",1,8,17,0.9953
"806",1,9,17,0.9989
"807",1,10,17,0.999
"808",1,11,17,0.9998
"809",1,12,17,1
"810",1,13,17,0.9999
"811",1,14,17,1
"812",1,15,17,1
"813",1,16,17,1
"814",1,17,17,1
"815",2,3,17,0.6651
"816",2,4,17,0.7962
"817",2,5,17,0.8915
"818",2,6,17,0.9401
"819",2,7,17,0.9691
"820",2,8,17,0.9875
"821",2,9,17,0.9946
"822",2,10,17,0.9972
"823",2,11,17,0.9994
"824",2,12,17,0.9998
"825",2,13,17,0.9999
"826",2,14,17,1
"827",2,15,17,1
"828",2,16,17,1
"829",2,17,17,1
"830",3,4,17,0.6547
"831",3,5,17,0.7821
"832",3,6,17,0.8724
"833",3,7,17,0.9331
"834",3,8,17,0.9626
"835",3,9,17,0.9832
"836",3,10,17,0.9928
"837",3,11,17,0.9978
"838",3,12,17,0.999
"839",3,13,17,0.9997
"840",3,14,17,0.9998
"841",3,15,17,1
"842",3,16,17,1
"843",3,17,17,1
"844",4,5,17,0.6406
"845",4,6,17,0.7708
"846",4,7,17,0.8546
"847",4,8,17,0.9229
"848",4,9,17,0.9595
"849",4,10,17,0.9796
"850",4,11,17,0.991
"851",4,12,17,0.9964
"852",4,13,17,0.9984
"853",4,14,17,0.9999
"854",4,15,17,1
"855",4,16,17,1
"856",4,17,17,1
"857",5,6,17,0.6369
"858",5,7,17,0.7561
"859",5,8,17,0.8475
"860",5,9,17,0.9126
"861",5,10,17,0.9519
"862",5,11,17,0.9763
"863",5,12,17,0.9895
"864",5,13,17,0.9977
"865",5,14,17,0.999
"866",5,15,17,0.9997
"867",5,16,17,0.9999
"868",5,17,17,1
"869",6,7,17,0.6385
"870",6,8,17,0.7505
"871",6,9,17,0.8389
"872",6,10,17,0.9088
"873",6,11,17,0.9504
"874",6,12,17,0.9781
"875",6,13,17,0.9909
"876",6,14,17,0.9967
"877",6,15,17,0.9987
"878",6,16,17,1
"879",6,17,17,1
"880",7,8,17,0.6304
"881",7,9,17,0.7495
"882",7,10,17,0.8415
"883",7,11,17,0.9075
"884",7,12,17,0.9554
"885",7,13,17,0.9778
"886",7,14,17,0.9916
"887",7,15,17,0.9969
"888",7,16,17,0.9996
"889",7,17,17,0.9999
"890",8,9,17,0.6273
"891",8,10,17,0.7435
"892",8,11,17,0.8424
"893",8,12,17,0.915
"894",8,13,17,0.9563
"895",8,14,17,0.9837
"896",8,15,17,0.9948
"897",8,16,17,0.9991
"898",8,17,17,0.9998
"899",9,10,17,0.6276
"900",9,11,17,0.7534
"901",9,12,17,0.8464
"902",9,13,17,0.9167
"903",9,14,17,0.9638
"904",9,15,17,0.9846
"905",9,16,17,0.9967
"906",9,17,17,0.9993
"907",10,11,17,0.6347
"908",10,12,17,0.7482
"909",10,13,17,0.851
"910",10,14,17,0.9275
"911",10,15,17,0.9703
"912",10,16,17,0.9917
"913",10,17,17,0.999
"914",11,12,17,0.6418
"915",11,13,17,0.7726
"916",11,14,17,0.8639
"917",11,15,17,0.9447
"918",11,16,17,0.9784
"919",11,17,17,0.9975
"920",12,13,17,0.6462
"921",12,14,17,0.7782
"922",12,15,17,0.8916
"923",12,16,17,0.959
"924",12,17,17,0.99
"925",13,14,17,0.6536
"926",13,15,17,0.7924
"927",13,16,17,0.9114
"928",13,17,17,0.9758
"929",14,15,17,0.6767
"930",14,16,17,0.8324
"931",14,17,17,0.9465
"932",15,16,17,0.7022
"933",15,17,17,0.8862
"934",16,17,17,0.7564
"935",0,1,18,0.7554
"936",0,2,18,0.8825
"937",0,3,18,0.9467
"938",0,4,18,0.976
"939",0,5,18,0.9905
"940",0,6,18,0.9955
"941",0,7,18,0.9979
"942",0,8,18,0.9991
"943",0,9,18,0.9997
"944",0,10,18,0.9999
"945",0,11,18,1
"946",0,12,18,1
"947",0,13,18,1
"948",0,14,18,1
"949",0,15,18,1
"950",0,16,18,1
"951",0,17,18,1
"952",0,18,18,1
"953",1,2,18,0.6958
"954",1,3,18,0.8319
"955",1,4,18,0.9062
"956",1,5,18,0.9563
"957",1,6,18,0.9765
"958",1,7,18,0.9901
"959",1,8,18,0.9959
"960",1,9,18,0.9974
"961",1,10,18,0.999
"962",1,11,18,1
"963",1,12,18,1
"964",1,13,18,1
"965",1,14,18,1
"966",1,15,18,1
"967",1,16,18,1
"968",1,17,18,1
"969",1,18,18,1
"970",2,3,18,0.6746
"971",2,4,18,0.7946
"972",2,5,18,0.8851
"973",2,6,18,0.9378
"974",2,7,18,0.9682
"975",2,8,18,0.9865
"976",2,9,18,0.994
"977",2,10,18,0.9973
"978",2,11,18,0.9991
"979",2,12,18,0.9997
"980",2,13,18,0.9998
"981",2,14,18,1
"982",2,15,18,1
"983",2,16,18,1
"984",2,17,18,1
"985",2,18,18,1
"986",3,4,18,0.6462
"987",3,5,18,0.7795
"988",3,6,18,0.8686
"989",3,7,18,0.9216
"990",3,8,18,0.9602
"991",3,9,18,0.9823
"992",3,10,18,0.9908
"993",3,11,18,0.9968
"994",3,12,18,0.9988
"995",3,13,18,0.9999
"996",3,14,18,1
"997",3,15,18,1
"998",3,16,18,1
"999",3,17,18,1
"1000",3,18,18,1
"1001",4,5,18,0.6449
"1002",4,6,18,0.7611
"1003",4,7,18,0.8461
"1004",4,8,18,0.9125
"1005",4,9,18,0.9517
"1006",4,10,18,0.979
"1007",4,11,18,0.9894
"1008",4,12,18,0.9955
"1009",4,13,18,0.9989
"1010",4,14,18,0.9995
"1011",4,15,18,1
"1012",4,16,18,1
"1013",4,17,18,1
"1014",4,18,18,1
"1015",5,6,18,0.6417
"1016",5,7,18,0.7495
"1017",5,8,18,0.8349
"1018",5,9,18,0.9041
"1019",5,10,18,0.9498
"1020",5,11,18,0.9747
"1021",5,12,18,0.9903
"1022",5,13,18,0.9954
"1023",5,14,18,0.9988
"1024",5,15,18,0.9999
"1025",5,16,18,1
"1026",5,17,18,1
"1027",5,18,18,1
"1028",6,7,18,0.6376
"1029",6,8,18,0.7436
"1030",6,9,18,0.8351
"1031",6,10,18,0.9016
"1032",6,11,18,0.9493
"1033",6,12,18,0.9735
